time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.002916461797143,0.017205703879587766,5.577139007427275e-08,8.491717204505651e-10,5.662056179472331e-08,5.662056182302577e-08,-2.830245449708977e-17,4.998617743418447e-10,1.3392990010330913e-07,1.6875226614558705,3.538900065172903e-252
0.0031017882380521,0.01810631654903722,5.869067898248688e-08,9.4759111784619e-10,5.963827010033307e-08,5.963827012392837e-08,-2.3595293885850612e-17,3.9564014577920477e-10,1.4945243782327704e-07,1.7736040277958032,1.3787261483882382e-251
0.0032988912397697,0.01904267344921139,6.172583094684825e-08,1.056772002010397e-09,6.278260294885864e-08,6.278260296677879e-08,-1.7920146669467198e-17,2.854317250743743e-10,1.6667225868771252e-07,1.8628038801890228,1.8158242071027527e-250
0.0035085191433519,0.020014890008993796,6.48772201240512e-08,1.177795796479497e-09,6.60550159205307e-08,6.605501593144254e-08,-1.091183576855452e-17,1.651931441494124e-10,1.8575992295280338e-07,1.95508586516962,9.992475821686671e-250
0.003731467843155,0.02102291660014426,6.814468564674849e-08,1.3118373542712036e-09,6.94565230010197e-08,6.945652300541197e-08,-4.3922761130973736e-18,6.323777700123474e-11,2.0690072641150768e-07,2.050392889171276,1.067684408229756e-248
0.0039685838086087,0.0220665195249083,7.152746999588038e-08,1.4601765260529212e-09,7.29876465219333e-08,7.29876465207244e-08,1.2089013041890985e-18,1.656309473995459e-11,2.302965249051171e-07,2.1486449763157314,6.727970391834466e-248
0.0042207672980064,0.023145266202718326,7.502417098414068e-08,1.6242018373690701e-09,7.664837282150975e-08,7.664837281639821e-08,5.111539434214283e-18,6.668816631133802e-11,2.5616631428921243e-07,2.2497375786404574,8.224565228602106e-247
0.0044889757765166,0.02425850794160414,7.863268591040419e-08,1.8054208927905552e-09,8.043810680319474e-08,8.04381067956543e-08,7.540446115135392e-18,9.374221267519824e-11,2.8474787135818515e-07,2.353539653154569,4.680595956783507e-246
0.0047742275513911,0.025405365384278605,8.235016438397379e-08,2.0054676675655263e-09,8.435563205153931e-08,8.43556320425402e-08,8.999116259646102e-18,1.0668068083643607e-10,3.162989038718271e-07,2.4598920424072634,7.0713478091196405e-245
0.0050776056381728,0.026584714867865927,8.617296411035247e-08,2.2261116572457605e-09,8.839907576759823e-08,8.839907575623302e-08,1.1365210153572384e-17,1.2856706990298857e-10,3.5109849361863337e-07,2.5686059820701552,1.8194005669243314e-235
