seed,model,curve_nrmse,final_reference,final_prediction,final_relative_error,monotonic,within_bounds
69371,gnn_init_11,0.060761974448532076,0.2878364645639539,0.2634809911251068,-0.0846156635356935,True,True
69371,gnn_init_29,0.06070386335851943,0.2878364645639539,0.2635100483894348,-0.08451471293385775,True,True
69371,gnn_init_47,0.0603173968621376,0.2878364645639539,0.2636256814002991,-0.0841129813080909,True,True
69371,gnn_ensemble,0.06059440327788827,0.2878364645639539,0.2635389069716136,-0.08441445259254732,True,True
69371,interpolation_oracle,0.002220689128362266,0.2878364645639539,0.2878364645639539,0.0,True,True
74167,mean_curve,0.059145119849936256,0.2448765184284501,0.2656091966237972,0.08466584843824014,True,True
74167,geometry_ridge,0.1328254469272059,0.2448765184284501,0.29108768570661125,0.1887121214183037,True,True
74167,G_access_power_1D,0.03025187075381968,0.2448765184284501,0.22794761037548295,-0.06913242707635754,True,True
74167,gnn_init_11,0.05872094802497148,0.2448765184284501,0.26565390825271606,0.0848484369085673,True,True
74167,gnn_init_29,0.05921425005584195,0.2448765184284501,0.2657853364944458,0.0853851492179925,True,True
74167,gnn_init_47,0.05988670018031927,0.2448765184284501,0.2659507989883423,0.08606084689189925,True,True
74167,gnn_ensemble,0.059273881891906244,0.2448765184284501,0.26579668124516803,0.08543147767281961,True,True
74167,interpolation_oracle,0.0020949666799775436,0.2448765184284501,0.2448765184284501,0.0,True,True
81929,mean_curve,0.04629144879286,0.2485817652085521,0.2654141836353707,0.06771381003227155,True,True
81929,geometry_ridge,0.021355474947119518,0.2485817652085521,0.25755326804412043,0.03609075198271895,True,True
81929,G_access_power_1D,0.018606523652737572,0.2485817652085521,0.23740970601302971,-0.04494319680347185,True,True
81929,gnn_init_11,0.046262569071485175,0.2485817652085521,0.2655784487724304,0.06837461931135072,True,True
81929,gnn_init_29,0.046315754661684916,0.2485817652085521,0.26558512449264526,0.06840147454029015,True,True
81929,gnn_init_47,0.04773707151739759,0.2485817652085521,0.2659357190132141,0.06981185361726995,True,True
81929,gnn_ensemble,0.04677147803871438,0.2485817652085521,0.26569976409276325,0.06886264915630354,True,True
81929,interpolation_oracle,0.0021083196678278503,0.2485817652085521,0.2485817652085521,0.0,True,True
90709,mean_curve,0.04519591800941938,0.2847758578739309,0.26350923138982446,-0.07467847395098036,True,True
90709,geometry_ridge,0.03829178880496186,0.2847758578739309,0.26849383602454263,-0.05717486717780777,True,True
90709,G_access_power_1D,0.05077635781255126,0.2847758578739309,0.2924488722759428,0.026944048063964447,True,True
90709,gnn_init_11,0.04487959477806979,0.2847758578739309,0.2637939751148224,-0.07367858678665486,True,True
90709,gnn_init_29,0.04523193473050474,0.2847758578739309,0.2636619806289673,-0.07414208986181207,True,True
90709,gnn_init_47,0.044712787244648416,0.2847758578739309,0.26381710171699524,-0.0735973769455345,True,True
90709,gnn_ensemble,0.04494133459745304,0.2847758578739309,0.26375768582026166,-0.07380601786466708,True,True
90709,interpolation_oracle,0.0020900481136890917,0.2847758578739309,0.2847758578739309,0.0,True,True
98251,mean_curve,0.11987967561830584,0.3129742683579579,0.2620251045222441,-0.1627902642061351,True,True
