time_s,reference_loading,predicted_loading
3.4816039698819448,0.0013092981899958,0.0008128084398873424
3.702842346131221,0.001392380187839,0.0008650882887813159
3.938139305593531,0.0014806201885343,0.0009206459483672643
4.188388200341461,0.001574330285756,0.0009796837271846817
4.45453915046707,0.0016738404549726,0.0010424161748563518
4.737602651403273,0.0017795004398704,0.0011090706098412836
5.038653410472308,0.0018916784408589,0.0011798886215956975
5.358834427227516,0.0020107619184507,0.0012551248649958701
5.699361333080262,0.0021371604564326,0.0013350493147864142
6.061527006688263,0.0022713073880043,0.001419948063662173
6.446706482628578,0.0024136620721733,0.0015101241646120014
6.856362171992004,0.0025647010750349,0.0016058974787393565
7.292049414719931,0.0027249288249309,0.0017076065292058519
7.755422384764201,0.0028948820702391,0.0018156091656149423
8.248240370490102,0.0030751193034684,0.0019302835255332782
8.772374454167297,0.0032662279129055,0.0020520289992498647
9.32981461590873,0.0034688248048895,0.002181267240937271
9.922677289029014,0.0036835573107734,0.0023184433678097
10.553213395507772,0.0039111035255979,0.002464026645610956
11.223816892066118,0.0041521731946857,0.0026185118133617968
11.937033859303233,0.0044075087720421,0.0027824201048369406
12.695572168401734,0.0046778857016944,0.0029563003234746475
13.502311762103409,0.0049641122712503,0.003140729921379185
14.360315588989138,0.0052670307269604,0.003336316004750952
15.272841232577155,0.0055875164643994,0.0035436963783597015
16.243353279391872,0.0059264793655994,0.0037635407436895896
17.27553647296109,0.0062848626012811,0.0039965508123381045
18.37330970368344,0.0066636399939238,0.004243462980177473
19.54084088768132,0.0070638197047565,0.004505047810229337
20.782562791129937,0.0074864373614333,0.004782111193406038
22.10318986014265,0.0079325582039234,0.005075494894266921
23.507736120110646,0.0084032776717753,0.005386075617955278
25.001534212455446,0.008899714917583,0.0057147693273404375
26.590255641070986,0.0094230013664306,0.006062528360258332
28.27993230532501,0.0099742967619226,0.006430341505873668
30.07697940137416,0.0105547744745582,0.006819233270325202
31.988219778742117,0.0111656032230238,0.007230267349988807
34.02090984463546,0.0118079689403026,0.007664541842597125
36.182767114348245,0.0124830516145356,0.008123187489770886
38.48199951235575,0.0131920108134653,0.00860737040620433
40.9273365353451,0.0139359979657426,0.009118287709712576
43.52806239549928,0.0147161365147499,0.009657165046499586
46.29405126986972,0.0155335118236122,0.010225254216872563
49.23580478966881,0.0163891639880403,0.010823830115888125
52.364491911817865,0.0172840754464649,0.011454187358828244
55.69199132413091,0.0182191613233442,0.012117636196022541
59.230936545134114,0.0191952558134284,0.012815495694914924
62.99476388975128,0.0202131024511945,0.013549089936096569
66.99776348296685,0.0212733385729599,0.014319744547113412
71.25513351514981,0.0223764860849657,0.015128774554631874
75.7830379450302,0.0235229394992163,0.01597748084363894
80.59866786940792,0.0247129483332485,0.01686714492361359
85.72030679259859,0.0259466109215648,0.01779901490067372
91.1674000434221,0.0272238695989779,0.018774302543091214
96.96062860329154,0.0285444852814537,0.01979417327395469
103.12198762570462,0.029908061341409,0.020859736356041752
109.674869945253,0.0313140065915803,0.021972037795324244
116.6441548932079,0.0327615676283126,0.02313205221242755
124.0563027568885,0.0342498121123885,0.024340675442578664
131.93945524144672,0.0357776489545782,0.025598717698107013
140.32354231549192,0.0373438289612043,0.026906898106001637
149.24039584621636,0.0389469792043941,0.028265840693219982
158.72387045545966,0.0405856179466582,0.02967607267252879
168.809972055567,0.042258188399007,0.031138023204874993
179.53699455305272,0.0439630927529597,0.03265202714614862
190.94566523909268,0.045698728461954,0.03421832894039956
203.07929941884896,0.0474635416021468,0.035837090727250526
215.98396486670865,0.0492560728457511,0.03750840378278609
229.7086567318238,0.051075012150561,0.03923230234592545
244.30548355801628,0.0529192575059966,0.04100878555913833
259.82986512430983,0.0547879738089332,0.04283783068973503
276.3407428572301,0.0566806613614116,0.04471942785028344
293.90080361374555,0.0585971876890057,0.0466535972564148
312.5767176844855,0.0605378466019048,0.04864041443741682
332.4393919208631,0.0625034003440685,0.05068005436688562
353.56423894714976,0.0644951133923646,0.052772800917328125
376.0314634796203,0.0665147760818308,0.05491908630183816
399.92636683983534,0.0685647284657021,0.05711950826023287
425.3396708182076,0.0706478869130666,0.059374877843962
452.3678621174646,0.0727676835886648,0.06168621460268722
481.1135586837567,0.0749280498684622,0.06405476874244283
511.6858993162595,0.0771333899024654,0.06648202763453502
544.2009580345026,0.0793885136380967,0.06896971551911568
578.7821847766517,0.0816986663421731,0.07151979459454941
