seed,bin,r_low_m,r_high_m,r_center_m,r_over_R,solid_fraction,porosity
121021,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5867811148649943,0.4132188851350057
121021,4,0.0032,0.004,0.0036,0.44999999999999996,0.5803148030511667,0.41968519694883333
121021,5,0.004,0.0048000000000000004,0.0044,0.55,0.5868795045237728,0.4131204954762272
121021,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.572032319361642,0.427967680638358
121021,7,0.0056,0.0064,0.006,0.75,0.5475808215562135,0.45241917844378654
121021,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6083504224216038,0.39164957757839625
121021,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4216393481411732,0.5783606518588268
129121,0,0.0,0.0008,0.0004,0.05,0.5597630814369516,0.44023691856304836
129121,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5861259559367711,0.4138740440632289
129121,2,0.0016,0.0024000000000000002,0.002,0.25,0.5738410751978599,0.4261589248021401
129121,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6086716565861754,0.3913283434138246
129121,4,0.0032,0.004,0.0036,0.44999999999999996,0.5676590953955339,0.43234090460446606
129121,5,0.004,0.0048000000000000004,0.0044,0.55,0.6093547966247236,0.3906452033752764
129121,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5666778751495627,0.4333221248504373
129121,7,0.0056,0.0064,0.006,0.75,0.5632787890398642,0.43672121096013583
129121,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6053556356736894,0.39464436432631056
129121,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4359803069853226,0.5640196930146775
137077,0,0.0,0.0008,0.0004,0.05,0.6159769518122337,0.38402304818776634
137077,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6072390948710154,0.39276090512898465
137077,2,0.0016,0.0024000000000000002,0.002,0.25,0.5796674977382332,0.42033250226176677
137077,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.605831929389231,0.394168070610769
137077,4,0.0032,0.004,0.0036,0.44999999999999996,0.5744924954715638,0.4255075045284362
137077,5,0.004,0.0048000000000000004,0.0044,0.55,0.6119007318007114,0.38809926819928864
137077,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5636447595627878,0.4363552404372122
137077,7,0.0056,0.0064,0.006,0.75,0.5724646818805799,0.42753531811942014
137077,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6028790747478,0.3971209252522
137077,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.43183660269622204,0.568163397303778
145093,0,0.0,0.0008,0.0004,0.05,0.5997947871337984,0.4002052128662016
145093,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6051732839295783,0.39482671607042175
145093,2,0.0016,0.0024000000000000002,0.002,0.25,0.5780044952847309,0.42199550471526914
145093,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6037903674526347,0.3962096325473653
145093,4,0.0032,0.004,0.0036,0.44999999999999996,0.5736285024184679,0.42637149758153214
145093,5,0.004,0.0048000000000000004,0.0044,0.55,0.6124784182020744,0.3875215817979256
145093,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5598161365451995,0.44018386345480054
145093,7,0.0056,0.0064,0.006,0.75,0.5630742704531905,0.4369257295468095
145093,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5978175140201498,0.4021824859798502
145093,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4218279364300624,0.5781720635699377
153133,0,0.0,0.0008,0.0004,0.05,0.6283766077921423,0.3716233922078577
153133,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5960638725080813,0.40393612749191865
