pore_id,x_m,y_m,z_m,volume_m3,inscribed_radius_m,component,inlet,outlet,wall,sobol_void_samples
157,-0.0017820584537501876,-0.005287234562080195,0.00233349437887628,1.9986318474511998e-10,0.0002631795897443061,0,0,0,0,29
158,-0.0015780556998856354,-0.004990466735425251,0.001674671745912599,1.93088161533421e-10,0.0001997233782288654,0,0,0,0,28
159,-0.0010784969894846628,-0.00587147862789871,0.0005166853149041163,1.0670661558425898e-09,0.0005440480615283146,0,0,0,0,157
160,-0.0013416356106087854,-0.005924870794354772,0.000548137136593742,7.079899256225437e-10,0.0005678612577143303,0,0,0,0,104
161,-0.0015909652609459545,-0.005808393545556795,0.0007647167049556168,1.1212663415361815e-09,0.0004573944011199751,0,0,0,0,165
162,-0.001597375513457071,-0.007371072997213269,0.0035594305677879566,1.1077162951127837e-09,0.0005423285311364968,0,0,0,0,163
163,-0.0014919828153441964,-0.0065886959097532895,0.0014099284746337862,1.1415914111712785e-09,0.0002828909028380406,0,1,0,1,168
164,-0.0020237475029809496,-0.00615636724188698,0.0030670998564539136,2.811634632855078e-10,0.000272651222090806,0,0,0,0,41
165,-0.00175442976690122,-0.005871976950889244,0.0026259500861903094,1.93088161533421e-10,0.0003172166958727473,0,0,0,0,28
166,-0.002668595878638684,-0.006422088766248177,0.0017507244753815385,7.960652273746304e-10,0.00026962071351617825,0,0,0,0,117
167,-0.0018504882359310674,-0.006238909284066281,0.001539749165538173,2.6761341686210984e-10,0.0002608345314679079,0,0,0,0,39
168,-0.0019245464309218233,-0.005823276298437165,0.002402158710002453,1.7953811511002305e-10,0.0003143453859986337,0,0,0,0,26
169,-0.0024844788494940468,-0.006009443852127854,0.0024279355486974525,2.269632775919159e-10,0.0002810116542762219,0,0,0,0,33
170,-0.002549579057725344,-0.006183074102116641,0.002765369643629976,5.792644846002631e-10,0.00026268980374260923,0,0,0,0,85
171,0.0011140072128891553,-0.006341423620877131,0.004212665206741485,2.5406337043871185e-10,0.00038648204462136406,0,0,0,0,37
172,0.0004742363730236038,-0.007187283069200195,0.0012098780365028508,3.0385979104469937e-09,0.0005393763951824945,0,1,0,1,448
173,0.0011670656861411308,-0.006744351978580717,0.003223410087428242,9.044655987618143e-10,0.00018589026626875148,0,0,0,0,133
174,0.0004366945774151536,-0.006104306409012878,0.002068310305376014,2.269632775919159e-10,0.0004958405127958937,0,0,0,0,33
175,0.000943605123009857,-0.006372298771532329,0.0015227946384057597,5.86039507811962e-10,0.0003035105471647755,0,0,0,0,86
176,0.0003121225594781069,-0.005852940381898358,0.0020920778701448766,1.93088161533421e-10,0.0004973801039979744,0,0,0,0,28
177,0.0020095238900244175,-0.005639222554296237,0.004035963906921028,3.3536364897909963e-10,0.0005177154024425076,0,0,0,0,49
178,0.0028986635312816342,-0.0060955524045340275,0.0035521144986805477,4.5731406678968137e-10,0.00041062607089329556,0,0,0,0,67
179,0.0016822387193333344,0.006576645367487202,0.0141194208425811,2.269632775919159e-10,0.00033188695385573885,0,0,0,0,33
180,0.0019715904573185967,-0.005536476458467085,0.004058838394319258,2.269632775919159e-10,0.0005191237017945484,0,0,0,0,33
181,-0.0007822221966166097,-0.0034306557713346423,0.0010799048792401952,8.163902970097274e-10,0.000501112464846228,0,0,0,0,120
182,-0.0024414192580421118,-0.0075115424910793425,0.0069234079722066315,1.968144242998554e-09,0.0007682175038803732,0,0,0,0,290
183,-0.000851936741788492,-0.005358685264981953,0.005298226512034824,1.7953811511002305e-10,0.0005083740748406106,0,0,0,0,26
184,-0.0009353668343814814,-0.006033834182801175,0.005258241113809602,3.4213867219079865e-10,0.00046936357697267047,0,0,0,0,50
185,-0.0010980341707673038,-0.006135218376962944,0.0054378740141193885,2.2018825438021693e-10,0.000502202812650052,0,0,0,0,32
186,-0.0010479011901447588,-0.006344029963114081,0.005583042622820151,4.979642060598752e-10,0.00044183484449145766,0,0,0,0,73
187,-0.006003566041634237,-0.003068279654581466,0.00238331524144775,8.976905755501151e-10,0.0002763879525622767,0,0,0,0,132
188,-0.005931777687837612,-0.0026755315582522262,0.00269194457549058,2.6761341686210984e-10,0.00025083654007758947,0,0,0,0,39
189,-0.005462299562501767,-0.00373201634038793,0.0028779384989667096,4.979642060598752e-10,0.0002797960134017296,0,0,0,0,73
